model_name,split,threshold,accuracy,precision,recall,f1_score,pr_auc_average_precision,roc_auc,true_positives,false_positives,false_negatives,true_negatives,positives_in_split,predicted_positive_alerts,alert_rate_percent,alerts_per_10k_transactions
XGBoost_class_weight,validation,0.44,0.998018663698739,0.4450354609929078,0.9580152671755725,0.6077481840193705,0.9467937540721271,0.999320026048758,251,313,11,162951,262,564,0.344899,34.49
XGBoost_class_weight,validation,0.45,0.9980675855827208,0.45126353790613716,0.9541984732824428,0.6127450980392157,0.9467937540721271,0.999320026048758,250,304,12,162960,262,554,0.338784,33.88
XGBoost_class_weight,validation,0.46,0.9981226227022003,0.45871559633027525,0.9541984732824428,0.6195786864931846,0.9467937540721271,0.999320026048758,250,295,12,162969,262,545,0.33328,33.33
XGBoost_class_weight,validation,0.47,0.9982204664701637,0.4725897920604915,0.9541984732824428,0.6321112515802781,0.9467937540721271,0.999320026048758,250,279,12,162985,262,529,0.323496,32.35
XGBoost_class_weight,validation,0.48,0.9982938492961364,0.4835589941972921,0.9541984732824428,0.6418485237483954,0.9467937540721271,0.999320026048758,250,267,12,162997,262,517,0.316158,31.62
XGBoost_class_weight,validation,0.49,0.9983121950026296,0.48638132295719844,0.9541984732824428,0.6443298969072165,0.9467937540721271,0.999320026048758,250,264,12,163000,262,514,0.314323,31.43
XGBoost_class_weight,validation,0.5,0.9983305407091227,0.48919449901768175,0.950381679389313,0.6459143968871596,0.9467937540721271,0.999320026048758,249,260,13,163004,262,509,0.311265,31.13
XGBoost_class_weight,validation,0.51,0.9983978082995976,0.5,0.950381679389313,0.6552631578947369,0.9467937540721271,0.999320026048758,249,249,13,163015,262,498,0.304539,30.45
XGBoost_class_weight,validation,0.52,0.9984711911255703,0.5123456790123457,0.950381679389313,0.6657754010695187,0.9467937540721271,0.999320026048758,249,237,13,163027,262,486,0.2972,29.72
XGBoost_class_weight,validation,0.53,0.9985262282450497,0.5220125786163522,0.950381679389313,0.6738836265223275,0.9467937540721271,0.999320026048758,249,228,13,163036,262,477,0.291697,29.17
XGBoost_class_weight,validation,0.54,0.9985506891870406,0.5264270613107822,0.950381679389313,0.6775510204081633,0.9467937540721271,0.999320026048758,249,224,13,163040,262,473,0.289251,28.93
XGBoost_class_weight,validation,0.55,0.9986057263065201,0.5366379310344828,0.950381679389313,0.6859504132231405,0.9467937540721271,0.999320026048758,249,215,13,163049,262,464,0.283747,28.37
XGBoost_class_weight,validation,0.56,0.9986424177195063,0.5436681222707423,0.950381679389313,0.6916666666666667,0.9467937540721271,0.999320026048758,249,209,13,163055,262,458,0.280078,28.01
XGBoost_class_weight,validation,0.57,0.9986791091324927,0.5511111111111111,0.9465648854961832,0.6966292134831461,0.9467937540721271,0.999320026048758,248,202,14,163062,262,450,0.275186,27.52
XGBoost_class_weight,validation,0.58,0.9987096853099813,0.5573033707865168,0.9465648854961832,0.7015558698727016,0.9467937540721271,0.999320026048758,248,197,14,163067,262,445,0.272128,27.21
XGBoost_class_weight,validation,0.59,0.9987341462519722,0.562358276643991,0.9465648854961832,0.705547652916074,0.9467937540721271,0.999320026048758,248,193,14,163071,262,441,0.269682,26.97
XGBoost_class_weight,validation,0.6,0.9987524919584653,0.5662100456621004,0.9465648854961832,0.7085714285714285,0.9467937540721271,0.999320026048758,248,190,14,163074,262,438,0.267847,26.78
