model_name,split,threshold,accuracy,precision,recall,f1_score,pr_auc_average_precision,roc_auc,true_positives,false_positives,false_negatives,true_negatives,positives_in_split,predicted_positive_alerts,alert_rate_percent,alerts_per_10k_transactions
Logistic_Regression_class_weight,validation,0.01,0.7918068074801561,0.007636925408808698,1.0,0.015158089617865718,0.8620408986837602,0.9980926784437175,262,34045,0,129219,262,34307,20.979538,2097.95
Logistic_Regression_class_weight,validation,0.02,0.861691718748089,0.01145154945583286,1.0,0.022643792403094075,0.8620408986837602,0.9980926784437175,262,22617,0,140647,262,22879,13.991047,1399.1
Logistic_Regression_class_weight,validation,0.03,0.8853209887112753,0.013778595845385223,1.0,0.027182652902422576,0.8620408986837602,0.9980926784437175,262,18753,0,144511,262,19015,11.62812,1162.81
Logistic_Regression_class_weight,validation,0.04,0.8992270342330884,0.015650200107520457,1.0,0.03081809092513086,0.8620408986837602,0.9980926784437175,262,16479,0,146785,262,16741,10.237516,1023.75
Logistic_Regression_class_weight,validation,0.05,0.9086383816640778,0.017107514146598238,0.9923664122137404,0.03363518758085381,0.8620408986837602,0.9980926784437175,260,14938,2,148326,262,15198,9.293935,929.39
Logistic_Regression_class_weight,validation,0.06,0.9159644337903453,0.018571428571428572,0.9923664122137404,0.03646052447062123,0.8620408986837602,0.9980926784437175,260,13740,2,149524,262,14000,8.56133,856.13
Logistic_Regression_class_weight,validation,0.07,0.9216210266257353,0.01981182590071139,0.9885496183206107,0.03884514435695538,0.8620408986837602,0.9980926784437175,259,12814,3,150450,262,13073,7.994447,799.44
Logistic_Regression_class_weight,validation,0.08,0.9260851485390702,0.020983553431094547,0.9885496183206107,0.0410948036493455,0.8620408986837602,0.9980926784437175,259,12084,3,151180,262,12343,7.548035,754.8
Logistic_Regression_class_weight,validation,0.09,0.9293506842948522,0.021932424422050976,0.9885496183206107,0.04291276613370889,0.8620408986837602,0.9980926784437175,259,11550,3,151714,262,11809,7.221482,722.15
Logistic_Regression_class_weight,validation,0.1,0.9318273546714284,0.02271132935811996,0.9885496183206107,0.04440253728784502,0.8620408986837602,0.9980926784437175,259,11145,3,152119,262,11404,6.973815,697.38
Logistic_Regression_class_weight,validation,0.11,0.9339309956826437,0.02341772151898734,0.9885496183206107,0.0457516339869281,0.8620408986837602,0.9980926784437175,259,10801,3,152463,262,11060,6.76345,676.35
Logistic_Regression_class_weight,validation,0.12,0.935490380734562,0.023970384081443776,0.9885496183206107,0.04680581910183428,0.8620408986837602,0.9980926784437175,259,10546,3,152718,262,10805,6.607512,660.75
