model_name,imbalance_strategy,optimised_threshold,precision,recall,f1_score,pr_auc_average_precision,roc_auc,true_positives,false_positives,false_negatives,predicted_positive_alerts,rank_pr_auc,rank_f1,rank_alerts,selected
XGBoost_class_weight,Class weighting,0.99,0.9621848739495799,0.8740458015267175,0.916,0.9467937540721271,0.999320026048758,229,9,33,238,1.0,4.0,3.0,True
Random_Forest_SMOTENC,SMOTENC (0.05),0.66,0.9663865546218487,0.8778625954198473,0.92,0.9461975183244737,0.9993567997208098,230,8,32,238,2.0,3.0,3.0,False
Random_Forest_class_weight,Class weighting,0.61,0.9789029535864979,0.8854961832061069,0.9298597194388778,0.9458114623244509,0.9949490671784154,232,5,30,237,3.0,2.0,2.0,False
XGBoost_SMOTENC,SMOTENC (0.05),0.64,0.9830508474576272,0.8854961832061069,0.9317269076305221,0.9424807853606768,0.9993218962927276,232,4,30,236,4.0,1.0,1.0,False
Logistic_Regression_SMOTENC,SMOTENC (0.05),0.75,0.8534798534798534,0.8893129770992366,0.8710280373831776,0.9133939706077967,0.9959696943796924,233,40,29,273,5.0,5.0,5.0,False
Logistic_Regression_class_weight,Class weighting,0.93,0.760655737704918,0.8854961832061069,0.818342151675485,0.8620408986837602,0.9980926784437175,232,73,30,305,6.0,6.0,6.0,False
